datetime,email_id
2020-03-01,3
2020-03-02,6
2020-03-03,2
2020-03-04,4
2020-03-05,3
2020-03-06,1
2020-03-07,4
2020-03-08,4
2020-03-09,6
2020-03-10,7
2020-03-11,5
2020-03-12,6
2020-03-13,16
2020-03-14,14
2020-03-15,13
2020-03-16,20
2020-03-17,55
2020-03-18,74
2020-03-19,44
2020-03-20,36
2020-03-21,39
2020-03-22,49
2020-03-23,55
2020-03-24,47
2020-03-25,43
2020-03-26,76
2020-03-27,118
2020-03-28,132
2020-03-29,105
2020-03-30,82
2020-03-31,91
2020-04-01,66
2020-04-02,61
2020-04-03,90
2020-04-04,64
2020-04-05,52
2020-04-06,63
2020-04-07,68
2020-04-08,70
2020-04-09,81
2020-04-10,52
2020-04-11,71
2020-04-12,56
2020-04-13,117
2020-04-14,97
2020-04-15,97
2020-04-16,86
2020-04-17,92
2020-04-18,87
2020-04-19,82
2020-04-20,72
2020-04-21,67
2020-04-22,80
2020-04-23,47
2020-04-24,48
2020-04-25,43
2020-04-26,55
2020-04-27,56
2020-04-28,55
2020-04-29,68
2020-04-30,58
2020-05-01,49
2020-05-02,16
2020-05-03,34
2020-05-04,67
2020-05-05,50
2020-05-06,55
2020-05-07,41
2020-05-08,31
2020-05-09,27
2020-05-10,44
2020-05-11,29
2020-05-12,49
2020-05-13,39
2020-05-14,31
2020-05-15,29
2020-05-16,29
2020-05-17,44
2020-05-18,33
2020-05-19,27
2020-05-20,17
2020-05-21,21
2020-05-22,28
2020-05-23,18
2020-05-24,19
2020-05-25,16
2020-05-26,17
2020-05-27,19
2020-05-28,14
2020-05-29,18
2020-05-30,12
2020-05-31,17
2020-06-01,19
2020-06-02,27
2020-06-03,17
2020-06-04,21
2020-06-05,18
2020-06-06,10
2020-06-07,31
2020-06-08,49
2020-06-09,23
2020-06-10,19
2020-06-11,11
2020-06-12,14
2020-06-13,10
2020-06-14,12
2020-06-15,11
2020-06-16,9
2020-06-17,4
2020-06-18,4
2020-06-19,10
2020-06-20,11
2020-06-21,8
2020-06-22,13
2020-06-23,11
2020-06-24,4
2020-06-25,11
2020-06-26,6
2020-06-27,7
2020-06-28,7
2020-06-29,11
2020-06-30,12
2020-07-01,6
2020-07-02,8
2020-07-03,6
2020-07-04,5
2020-07-05,3
2020-07-06,8
2020-07-07,9
2020-07-08,8
2020-07-09,14
2020-07-10,12
2020-07-11,10
2020-07-12,13
2020-07-13,27
2020-07-14,20
2020-07-15,14
2020-07-16,19
2020-07-17,12
2020-07-18,10
2020-07-19,9
2020-07-20,12
2020-07-21,11
2020-07-22,22
2020-07-23,14
2020-07-24,7
2020-07-25,2
2020-07-26,6
2020-07-27,14
2020-07-28,21
2020-07-29,17
2020-07-30,19
2020-07-31,8
2020-08-01,4
2020-08-02,7
2020-08-03,10
2020-08-04,16
2020-08-05,10
2020-08-06,7
2020-08-07,2
2020-08-08,7
2020-08-09,4
2020-08-10,8
2020-08-11,8
2020-08-12,12
2020-08-13,8
2020-08-14,5
2020-08-15,5
2020-08-16,5
2020-08-17,3
2020-08-18,6
2020-08-19,7
2020-08-20,9
2020-08-21,9
2020-08-22,11
2020-08-23,16
2020-08-24,12
2020-08-25,10
2020-08-26,13
2020-08-27,5
2020-08-28,5
2020-08-29,13
2020-08-30,2
2020-08-31,4
